<Trace>
2526
D2 600:615-1120 [COR]
X	Y
764.2	301.033447
764.4	301.485
764.6	388.204071
764.8	475.181427
765	432.628021
765.2	303.290955
765.4	520.702
765.6	347.6502
765.8	0
766	217.926239
766.2	305.616028
766.4	262.4015
766.6	262.8463
766.8	175.52742
767	131.868011
767.2	264.1812
767.4	176.417358
767.6	220.892441
767.8	177.010544
768	221.634048
768.2	133.257828
768.4	489.630432
768.6	446.043
768.8	312.877319
769	313.52475
769.2	224.408554
769.4	359.7939
769.6	135.1999
769.8	90.31824
770	362.0134
770.2	272.078125
770.4	136.323074
770.6	136.6071
770.8	319.413177
771	228.625656
771.2	229.0992
771.4	91.82902
771.6	138.027588
771.8	184.415649
772	785.379
772.2	2778.33521
772.4	4919.71973
772.6	1814.20056
772.8	885.857056
773	186.920822
773.2	46.8364944
773.4	704.1448
773.6	235.245789
773.8	188.621887
774	47.26176
774.2	378.96933
774.4	94.96083
774.6	0
774.8	715.487732
775	239.041885
775.2	287.5063
775.4	576.3253
775.6	96.2725449
775.8	48.2455826
776	241.774765
776.2	96.97047
776.4	291.6936
776.6	389.967255
776.8	195.504684
777	196.02594
777.2	98.27356
777.4	49.267086
777.6	395.179626
777.8	0
778	148.974075
778.2	49.8050423
778.4	49.9520836
778.6	100.198174
778.8	301.477081
779	403.146
779.2	252.701248
779.4	253.436462
779.6	203.337082
779.8	0
780	562.4129
780.2	153.82608
780.4	0
780.6	412.55545
780.8	0
781	311.1807
781.2	260.0523
781.4	417.260223
781.6	104.608849
781.8	524.515564
782	525.9858
782.2	263.7619
782.4	529.0632
782.6	318.360565
782.8	159.641754
783	213.4712
783.2	428.173859
783.4	375.729126
783.6	107.658691
783.8	431.866425
784	920.334
784.2	814.667
784.4	980.730652
784.6	1147.83679
784.8	328.995331
785	220.025574
785.2	331.081757
785.4	0
785.6	277.6398
785.8	167.1054
786	223.5027
786.2	336.378448
786.4	112.500763
786.6	112.875389
786.8	113.250122
787	227.249817
787.2	227.999283
787.4	228.748749
787.6	0
787.8	115.12368
788	173.247665
788.2	753.5328
788.4	232.714478
788.6	467.146484
788.8	175.823776
789	0
789.2	354.224121
789.4	888.7827
789.6	59.4666023
789.8	59.6812935
790	598.9612
790.2	360.767365
790.4	724.3179
790.6	121.182861
790.8	60.82325
791	0
791.2	61.28692
791.4	553.669861
791.6	370.503571
791.8	185.947128
792	124.4284
792.2	312.340576
792.4	62.7219276
792.6	125.951477
792.8	1327.82813
793	2666.333
793.2	1211.01477
793.4	511.930573
793.6	1606.13477
793.8	7546.588
794	7187.753
794.2	15934.7861
794.4	34885.0977
794.6	39104.81
794.8	19964.83
795	7014.07471
795.2	2990.37329
795.4	1067.76758
795.6	268.073639
795.8	0
796	202.754532
796.2	67.92869
796.4	341.3632
796.6	68.61634
796.8	206.880768
797	277.216644
797.2	208.944061
797.4	0
797.6	211.007019
797.8	141.35907
798	213.0703
798.2	214.3239
798.4	215.5775
798.6	795.0476
798.8	72.69473
799	146.225235
799.2	294.12207
799.4	295.793518
799.6	223.098312
799.8	523.488342
800	150.403641
800.2	757.6109
800.4	1068.484
800.6	3228.951
800.8	696.9444
801	389.9866
801.2	2199.593
801.4	2215.24854
801.6	2310.57471
801.8	561.635742
802	323.170929
802.2	0
802.4	492.5722
802.6	165.492752
802.8	166.795349
803	504.2943
803.2	169.400513
803.4	0
803.6	258.008026
803.8	606.5784
804	0
804.2	440.6282
804.4	266.83783
804.6	269.298065
804.8	905.865234
805	182.813354
805.2	368.908264
805.4	186.094711
805.6	375.46994
805.8	284.063416
806	191.016235
806.2	386.291046
806.4	488.186981
806.6	197.4032
806.8	997.664
807	403.3234
807.2	1018.95605
807.4	1235.52319
807.6	3016.72461
807.8	41934.63
808	125298.008
808.2	156381.547
808.4	59372.4063
808.6	7700.94971
808.8	2559.865
809	1688.76685
809.2	910.9637
809.4	460.62616
809.6	116.442268
809.8	2590.03955
810	4284.56543
810.2	5792.1665
810.4	1345.55383
810.6	1239.766
810.8	2135.72485
811	8782.774
811.2	19083.5957
811.4	25597.3828
811.6	24334.3926
811.8	10444.4111
812	2711.09644
812.2	963.750549
812.4	1957.24426
812.6	7522.192
812.8	6338.29346
813	21634.67
813.2	75048.81
813.4	94029.26
813.6	35850.63
813.8	8507.031
814	470.386627
814.2	319.3383
814.4	487.628479
814.6	0
814.8	0
815	684.651733
815.2	174.036453
815.4	707.640869
